PID,PName,PDescription,PPrice
1,Wine - Shiraz Wolf Blass Premium,Outdoors,1.69
2,Cheese - Stilton,Outdoors,6.64
3,Langers - Ruby Red Grapfruit,Electronics,3.73
4,Nut - Macadamia,Health,2.15
5,Sesame Seed,Toys,2.78
6,"Pasta - Lasagna, Dry",Kids,3.38
7,Shopper Bag - S - 4,Movies,6.99
8,Food Colouring - Pink,Grocery,5.28
9,Wine - Alsace Gewurztraminer,Books,5.35
10,Bonito Flakes - Toku Katsuo,Books,7.12
11,Campari,Garden,9.73
12,Pie Filling - Apple,Jewelery,2.54
13,Ice Cream - Life Savers,Beauty,8.79
14,Coffee - Egg Nog Capuccino,Books,5.62
15,Muffin Mix - Raisin Bran,Shoes,3.06
16,Mushrooms - Honey,Beauty,6.11
17,Lamb - Ground,Shoes,3.96
18,Lamb Rack Frenched Australian,Movies,8.2
19,"Veal - Round, Eye Of",Computers,6.6
20,Potatoes - Peeled,Shoes,3.44
21,Egg Patty Fried,Health,4.34
22,"Chilli Paste, Sambal Oelek",Tools,6.0
23,Wine - Chianti Classico Riserva,Kids,9.13
24,Raspberries - Frozen,Electronics,6.34
25,Yogurt - Plain,Movies,4.6
26,Peppercorns - Green,Games,8.4
27,Spinach - Packaged,Beauty,6.08
28,Cranberries - Dry,Toys,1.72
29,Tea - Herbal - 6 Asst,Baby,1.4
30,Tea - Decaf Lipton,Books,6.65
31,Cheese - Valancey,Outdoors,2.17
32,Beer - Upper Canada Light,Electronics,5.62
33,Chicken - White Meat With Tender,Electronics,6.1
34,Table Cloth 62x114 White,Electronics,1.11
35,"Pail - 15l White, With Handle",Electronics,4.88
36,"Bread - Roll, Calabrese",Kids,4.12
37,Crab Meat Claw Pasteurise,Industrial,9.98
38,Steam Pan Full Lid,Electronics,2.54
39,Nantuket Peach Orange,Kids,8.64
40,Puree - Mocha,Shoes,3.82
41,"Tart Shells - Sweet, 3",Health,6.77
42,Buffalo - Tenderloin,Music,7.79
43,"Peas - Pigeon, Dry",Jewelery,8.72
44,Wine - Ej Gallo Sierra Valley,Baby,9.99
45,Cheese - Cheddarsliced,Movies,3.86
46,Mushroom - Porcini Frozen,Beauty,8.75
47,Wine - Redchard Merritt,Computers,3.89
48,Appetizer - Crab And Brie,Tools,7.35
49,"Pesto - Primerba, Paste",Electronics,9.54
50,Beer - Upper Canada Light,Industrial,8.95
51,Scampi Tail,Computers,1.99
52,"Wine - Red, Harrow Estates, Cab",Books,9.95
53,Wine - Sake,Toys,2.12
54,Chervil - Fresh,Baby,1.35
55,"Lemonade - Natural, 591 Ml",Books,5.89
56,Bread - Italian Roll With Herbs,Sports,1.22
57,Sobe - Green Tea,Outdoors,1.19
58,Puree - Pear,Clothing,4.64
59,Muffin - Mix - Creme Brule 15l,Shoes,6.95
60,Cheese - Pied De Vents,Computers,8.06
61,Sprouts - Pea,Electronics,3.31
62,Nantucket - Carrot Orange,Outdoors,9.36
63,Tuna - Fresh,Shoes,6.07
64,"Stock - Beef, Brown",Grocery,3.36
65,"Soup - Campbells, Butternut",Grocery,3.31
66,"Bread - Crumbs, Bulk",Home,7.08
67,Yoplait Drink,Kids,9.66
68,Blue Curacao - Marie Brizard,Toys,4.89
69,Bagel - Sesame Seed Presliced,Home,4.74
70,Arizona - Green Tea,Movies,2.65
71,Sage Derby,Kids,1.88
72,"Wine - White, Mosel Gold",Electronics,1.42
73,Hot Chocolate - Individual,Electronics,5.44
74,Watercress,Toys,5.77
75,"Jam - Marmalade, Orange",Health,8.71
76,"Wine - White, Riesling, Semi - Dry",Toys,9.62
77,Cheese - Bocconcini,Computers,7.87
78,Pastry - Key Limepoppy Seed Tea,Books,4.5
79,Ham Black Forest,Computers,2.26
80,Cheese - Cottage Cheese,Home,7.46
81,Garbage Bags - Clear,Kids,4.48
82,"Bread - White, Sliced",Toys,8.65
83,Juice - Orange 1.89l,Baby,1.48
84,Smoked Paprika,Jewelery,6.97
85,Appetizer - Veg Assortment,Home,8.44
86,Bandage - Finger Cots,Baby,6.77
87,Island Oasis - Mango Daiquiri,Movies,8.44
88,"Cheese - Mozzarella, Shredded",Grocery,4.73
89,Beer - Pilsner Urquell,Outdoors,9.15
90,Wine - Zinfandel California 2002,Tools,5.77
91,"Tart Shells - Savory, 4",Toys,4.98
92,Tea - Vanilla Chai,Home,2.39
93,Cake - Mini Cheesecake,Books,6.27
94,"Clams - Littleneck, Whole",Kids,1.19
95,Ostrich - Fan Fillet,Home,5.83
96,Island Oasis - Banana Daiquiri,Garden,8.82
97,"Brocolinni - Gaylan, Chinese",Kids,3.1
98,"Wine - Red, Black Opal Shiraz",Movies,7.03
99,Bread Base - Goodhearth,Computers,5.17
100,Breadfruit,Movies,7.17
101,Neckerchief Blck,Sports,9.48
102,Bread Bowl Plain,Health,5.22
103,Mushroom - Lg - Cello,Games,4.36
104,Wine - Chardonnay South,Industrial,9.3
105,Russian Prince,Electronics,2.86
106,Tamarind Paste,Games,2.72
107,Truffle Cups - Brown,Clothing,2.75
108,Sea Bass - Whole,Garden,8.88
109,"Pasta - Elbows, Macaroni, Dry",Computers,8.93
110,Scallops - Live In Shell,Health,3.36
111,"Tuna - Canned, Flaked, Light",Garden,3.61
112,Duck - Whole,Health,6.77
113,Ham - Cooked Bayonne Tinned,Outdoors,5.17
114,Cookie Choc,Garden,4.85
115,"Chilli Paste, Ginger Garlic",Shoes,3.96
116,"Mushroom - Enoki, Fresh",Kids,5.3
117,Juice - Cranberry 284ml,Electronics,8.74
118,Pate - Peppercorn,Clothing,5.61
119,Beans - Butter Lrg Lima,Baby,9.19
120,French Kiss Vanilla,Beauty,5.72
121,Bread - Petit Baguette,Baby,7.33
122,Sterno - Chafing Dish Fuel,Shoes,3.22
123,Lettuce - Boston Bib - Organic,Home,2.57
124,Langers - Cranberry Cocktail,Outdoors,7.88
125,"Pasta - Rotini, Dry",Tools,3.28
126,Truffle Shells - Semi - Sweet,Automotive,1.28
127,Milk - Condensed,Movies,2.42
128,Tea - Herbal Sweet Dreams,Automotive,1.97
129,"Vodka - Lemon, Absolut",Shoes,5.38
130,"Soda Water - Club Soda, 355 Ml",Sports,2.95
131,Yokaline,Electronics,2.33
132,"Mushroom - Chantrelle, Fresh",Health,9.52
133,Onions - Red Pearl,Computers,4.67
134,Pate Pans Yellow,Industrial,6.6
135,Tea Peppermint,Shoes,1.54
136,Onions - Cippolini,Industrial,3.89
137,Pepper - Green,Computers,1.92
138,Muffin Mix - Lemon Cranberry,Toys,7.08
139,Pastry - Choclate Baked,Computers,8.02
140,Cherries - Frozen,Clothing,8.96
141,Ginsing - Fresh,Music,6.55
142,Potatoes - Fingerling 4 Oz,Electronics,9.11
143,Mountain Dew,Baby,3.49
144,Chips Potato Swt Chilli Sour,Shoes,1.99
145,Pastry - Baked Scones - Mini,Automotive,5.78
146,Campari,Kids,1.03
147,Heavy Duty Dust Pan,Music,9.23
148,Longos - Chicken Caeser Salad,Jewelery,7.78
149,Chips - Miss Vickies,Computers,9.16
150,Currants,Sports,3.74
151,Jolt Cola,Garden,9.35
152,Bar Special K,Electronics,9.34
153,"Juice - Apple, 1.36l",Books,3.37
154,Glass Clear 8 Oz,Books,4.22
155,Plasticknivesblack,Toys,4.86
156,Puree - Mocha,Movies,8.12
157,Glucose,Home,3.42
158,"Pasta - Penne Primavera, Single",Grocery,7.39
159,Thyme - Dried,Kids,7.52
160,Bagelers,Beauty,4.19
161,Apple - Fuji,Sports,6.3
162,Cake - Pancake,Music,2.01
163,Wine - Hardys Bankside Shiraz,Baby,2.51
164,Bread Base - Goodhearth,Movies,5.18
165,Grenadine,Grocery,1.58
166,Spice - Peppercorn Melange,Kids,1.55
167,Lamb Rack - Ontario,Tools,7.33
168,Island Oasis - Cappucino Mix,Tools,4.25
169,Beans - Fine,Books,4.97
170,Sugar - Monocystal / Rock,Health,6.04
171,"Tortillas - Flour, 10",Music,6.63
172,Napkin Colour,Electronics,2.29
173,Trueblue - Blueberry Cranberry,Toys,8.05
174,Appetizer - Smoked Salmon / Dill,Beauty,2.5
175,"Champagne - Brights, Dry",Outdoors,5.15
176,Iced Tea Concentrate,Home,5.76
177,Sauce - Roasted Red Pepper,Jewelery,3.45
178,"Fish - Atlantic Salmon, Cold",Garden,8.7
179,Chicken - Livers,Tools,1.87
180,Oil - Olive,Toys,4.35
181,Mussels - Cultivated,Automotive,5.65
182,Mustard - Pommery,Jewelery,9.45
183,"Ranchero - Primerba, Paste",Baby,7.13
184,Goldschalger,Kids,3.38
185,Wine - Niagara Peninsula Vqa,Garden,7.83
186,"Soup - Campbells, Lentil",Games,2.83
187,Drambuie,Games,9.03
188,Veal - Inside,Clothing,4.02
189,"Doilies - 12, Paper",Automotive,7.18
190,"Water, Tap",Garden,6.36
191,Beer - Camerons Cream Ale,Health,4.44
192,Bread - Mini Hamburger Bun,Books,8.79
193,Cup - 8oz Coffee Perforated,Grocery,8.58
194,Squash - Sunburst,Toys,1.63
195,Dried Peach,Books,2.52
196,Extract Vanilla Pure,Books,3.07
197,Cheese - Colby,Home,5.95
198,"Nut - Walnut, Chopped",Music,8.05
199,Wine - Magnotta - Cab Franc,Garden,5.86
200,Tobasco Sauce,Automotive,6.16
201,Island Oasis - Ice Cream Mix,Beauty,4.98
202,Wine - Cabernet Sauvignon,Grocery,5.56
203,Yogurt - Assorted Pack,Toys,4.88
204,Wine - Lamancha Do Crianza,Automotive,7.48
205,Chicken Breast Halal,Music,7.19
206,Apple - Northern Spy,Electronics,2.43
207,Trueblue - Blueberry,Toys,5.85
208,Sauce Bbq Smokey,Shoes,9.07
209,Basil - Pesto Sauce,Health,6.04
210,Pastry - Carrot Muffin - Mini,Health,9.58
211,Chickhen - Chicken Phyllo,Health,1.05
212,Kellogs Raisan Bran Bars,Movies,5.89
213,Chips - Doritos,Home,6.81
214,"Juice - Apple, 1.36l",Automotive,6.95
215,Foil - 4oz Custard Cup,Books,7.09
216,Gatorade - Cool Blue Raspberry,Grocery,9.69
217,"Wine - Red, Lurton Merlot De",Shoes,2.69
218,Island Oasis - Mango Daiquiri,Electronics,9.35
219,Chocolate Bar - Coffee Crisp,Music,3.93
220,Soup - Campbells Chili,Computers,4.43
221,Napkin - Beverage 1 Ply,Books,2.15
222,"Soup - Knorr, Chicken Gumbo",Books,3.29
223,Cheese - Shred Cheddar / Mozza,Jewelery,8.02
224,Wine - Magnotta - Pinot Gris Sr,Electronics,7.13
225,"Loaf Pan - 2 Lb, Foil",Home,9.63
226,Pork - Hock And Feet Attached,Movies,6.91
227,Butter - Unsalted,Home,7.86
228,"Yogurt - Peach, 175 Gr",Jewelery,4.96
229,Wine - Dubouef Macon - Villages,Grocery,4.65
230,Mcguinness - Blue Curacao,Sports,9.97
231,Pomegranates,Outdoors,2.9
232,Duck - Breast,Sports,3.95
233,Rosemary - Dry,Clothing,6.7
234,Compound - Mocha,Automotive,7.39
235,Cake Sheet Combo Party Pack,Music,9.14
236,"Wine - Red, Wolf Blass, Yellow",Shoes,4.11
237,Vinegar - Raspberry,Beauty,6.35
238,"Tortillas - Flour, 12",Automotive,2.17
239,Bacardi Breezer - Strawberry,Clothing,4.93
240,V8 - Berry Blend,Movies,8.16
241,Pork - European Side Bacon,Beauty,5.09
242,Cardamon Seed / Pod,Music,6.6
243,Soup Campbells - Tomato Bisque,Electronics,9.77
244,Lotus Rootlets - Canned,Games,1.74
245,"Gin - Gilbeys London, Dry",Electronics,3.41
246,Chicken - Livers,Beauty,1.27
247,Cake - Lemon Chiffon,Tools,1.88
248,Chicken - Whole Fryers,Garden,8.01
249,Macaroons - Homestyle Two Bit,Tools,1.67
250,Shopper Bag - S - 4,Clothing,6.03
251,Soup - Campbells Mac N Cheese,Music,1.6
252,Soup - Campbells - Chicken Noodle,Health,5.06
253,Passion Fruit,Sports,4.07
254,"Appetizer - Mini Egg Roll, Shrimp",Industrial,7.53
255,Dates,Garden,4.17
256,"Beef - Tongue, Fresh",Home,6.89
257,Salt - Seasoned,Clothing,6.11
258,Rice - Aborio,Automotive,7.34
259,Wine - Dubouef Macon - Villages,Games,7.66
260,Coriander - Ground,Clothing,5.94
261,Cleaner - Bleach,Shoes,2.68
262,"Sugar - Brown, Individual",Kids,6.05
263,Lidsoupcont Rp12dn,Health,7.69
264,"Wine - Sherry Dry Sack, William",Shoes,4.23
265,Easy Off Oven Cleaner,Computers,4.25
266,Cod - Black Whole Fillet,Garden,7.39
267,Bread - Olive,Tools,8.51
268,Beer - Mcauslan Apricot,Clothing,8.24
269,Juice Peach Nectar,Outdoors,4.49
270,Turnip - Mini,Beauty,2.85
271,Chips - Potato Jalapeno,Music,1.41
272,Mushroom - Crimini,Shoes,4.81
273,Chambord Royal,Baby,9.26
274,"Vodka - Lemon, Absolut",Industrial,8.68
275,Creme De Menthe Green,Movies,5.22
276,Beer - Blue,Books,7.19
277,Sauce - Balsamic Viniagrette,Shoes,5.47
278,Kellogs Raisan Bran Bars,Tools,3.84
279,Muffin Mix - Corn Harvest,Jewelery,8.82
280,Chocolate - Unsweetened,Health,8.06
281,Ecolab - Hand Soap Form Antibac,Garden,4.96
282,"Jam - Blackberry, 20 Ml Jar",Books,3.28
283,Anchovy In Oil,Kids,1.21
284,Pepperoni Slices,Beauty,1.98
285,"7up Diet, 355 Ml",Shoes,3.66
286,Flax Seed,Clothing,4.57
287,"Nut - Hazelnut, Whole",Jewelery,8.09
288,"Wine - White, Riesling, Semi - Dry",Garden,7.02
289,Pomegranates,Music,3.41
290,Rosemary - Fresh,Clothing,7.39
291,"Veal - Brisket, Provimi, Bone - In",Games,7.72
292,"Bread - Dark Rye, Loaf",Electronics,7.09
293,"Loaf Pan - 2 Lb, Foil",Toys,5.96
294,Bay Leaf Fresh,Shoes,5.78
295,Jolt Cola - Electric Blue,Garden,2.69
296,Oil - Shortening - All - Purpose,Tools,8.69
297,Tomato Puree,Grocery,9.15
298,"Soup - Campbells, Creamy",Sports,5.92
299,Bonito Flakes - Toku Katsuo,Health,9.95
300,"Pepsi - Diet, 355 Ml",Tools,9.57
301,Beer - Upper Canada Light,Tools,8.63
302,"Pork - Back, Long Cut, Boneless",Computers,3.92
303,Ice Cream Bar - Oreo Cone,Music,7.9
304,Egg - Salad Premix,Shoes,4.61
305,Cheese - Marble,Movies,6.03
306,Sproutsmustard Cress,Kids,9.46
307,Spinach - Baby,Garden,4.8
308,Vinegar - Tarragon,Books,6.22
309,Chips - Potato Jalapeno,Industrial,4.8
310,Soup - Campbells - Tomato,Garden,2.41
311,Berry Brulee,Movies,3.26
312,Longos - Chicken Wings,Music,5.35
313,Cheese Cheddar Processed,Tools,3.91
314,Cookie - Oatmeal,Books,4.66
315,Lotus Rootlets - Canned,Outdoors,7.25
316,Hot Choc Vending,Automotive,8.22
317,Chips - Doritos,Books,7.01
318,Bread - Pita,Electronics,7.17
319,Goldschalger,Books,7.36
320,Pepper - Gypsy Pepper,Games,3.16
321,Peppercorns - Pink,Industrial,2.43
322,Sugar - Brown,Baby,3.19
323,Tea - Lemon Scented,Garden,6.98
324,Tomatoes - Orange,Books,2.3
325,Flour - Strong,Sports,9.16
326,Radish - Pickled,Outdoors,9.92
327,"Wine - White, Ej Gallo",Tools,4.08
328,Sour Puss Sour Apple,Tools,9.12
329,Muffin Orange Individual,Outdoors,3.39
330,Wine - Charddonnay Errazuriz,Home,6.6
331,Muffins - Assorted,Jewelery,5.82
332,Blouse / Shirt / Sweater,Toys,2.17
333,Pepper - Green Thai,Games,5.84
334,Sugar - Monocystal / Rock,Electronics,4.69
335,Sauce - Oyster,Computers,3.3
336,Grand Marnier,Sports,2.17
337,Oil - Pumpkinseed,Books,9.86
338,"Lid - 10,12,16 Oz",Industrial,1.51
339,"Cheese - Mozzarella, Buffalo",Toys,4.11
340,Potatoes - Yukon Gold 5 Oz,Books,6.37
341,Wine - Cotes Du Rhone,Beauty,8.68
342,Anchovy In Oil,Beauty,5.23
343,Ocean Spray - Ruby Red,Industrial,7.28
344,Gatorade - Cool Blue Raspberry,Electronics,1.7
345,Paper - Brown Paper Mini Cups,Industrial,8.34
346,Taro Root,Beauty,7.64
347,Bread Crumbs - Panko,Jewelery,1.52
348,True - Vue Containers,Sports,1.08
349,Wine - Remy Pannier Rose,Grocery,7.1
350,Eel - Smoked,Health,5.27
351,Sesame Seed Black,Movies,9.77
352,Bread - Sour Sticks With Onion,Tools,4.98
353,"Tarragon - Primerba, Paste",Music,2.99
354,Sugar - White Packet,Computers,2.73
355,"Juice - Clam, 46 Oz",Jewelery,4.63
356,Bagelers,Garden,6.05
357,Wine - Alicanca Vinho Verde,Beauty,9.29
358,"Mushroom - Porcini, Dry",Kids,2.24
359,Blueberries - Frozen,Tools,2.24
360,"Beer - Alexander Kieths, Pale Ale",Garden,5.23
361,Ham - Black Forest,Beauty,4.06
362,Soup - Campbells Asian Noodle,Movies,7.8
363,Ketchup - Tomato,Beauty,2.76
364,Milk - Skim,Music,6.47
365,Muffin Batt - Choc Chk,Tools,6.33
366,Soup Campbells Turkey Veg.,Industrial,7.54
367,Dates,Sports,8.46
368,Turnip - White,Computers,2.51
369,"Chicken - Wings, Tip Off",Home,4.29
370,Chicken - White Meat With Tender,Sports,6.54
371,"Rum - Spiced, Captain Morgan",Outdoors,9.59
372,Kellogs All Bran Bars,Tools,3.83
373,Tomatoes - Cherry,Baby,3.9
374,Langers - Ruby Red Grapfruit,Industrial,6.22
375,"Oil - Food, Lacquer Spray",Tools,5.39
376,Canada Dry,Tools,2.34
377,Cookies Almond Hazelnut,Shoes,9.21
378,Dried Figs,Automotive,6.29
379,Thyme - Dried,Automotive,7.66
380,"Pork - Tenderloin, Fresh",Movies,4.95
381,Lamb - Shanks,Computers,2.78
382,Pork - Belly Fresh,Games,9.81
383,Chickhen - Chicken Phyllo,Books,5.19
384,"Cheese - Brie,danish",Computers,6.8
385,Sauce - Hoisin,Music,5.14
386,Cheese - Grie Des Champ,Shoes,8.75
387,Chocolate - Dark Callets,Books,1.39
388,Kaffir Lime Leaves,Home,8.0
389,Teriyaki Sauce,Music,1.19
390,Okra,Toys,4.18
391,Macaroons - Two Bite Choc,Garden,3.79
392,Venison - Striploin,Computers,6.27
393,Flour Dark Rye,Industrial,8.35
394,"Pasta - Shells, Medium, Dry",Sports,5.3
395,Carbonated Water - Wildberry,Baby,9.39
396,Chef Hat 20cm,Outdoors,8.8
397,Pastry - Chocolate Chip Muffin,Baby,1.97
398,Veal - Eye Of Round,Toys,1.02
399,Ecolab Silver Fusion,Electronics,7.1
400,Carbonated Water - Raspberry,Clothing,9.67
401,Cake - Miini Cheesecake Cherry,Toys,9.83
402,Clementine,Jewelery,8.66
403,"Noodles - Cellophane, Thin",Clothing,1.87
404,"Pork - Sausage, Medium",Tools,4.75
405,"Nut - Hazelnut, Ground, Natural",Computers,9.54
406,Tomatoes - Roma,Grocery,2.08
407,"Orange - Canned, Mandarin",Sports,6.17
408,Rice - Jasmine Sented,Grocery,7.73
409,Island Oasis - Lemonade,Computers,5.53
410,Cranberries - Frozen,Automotive,2.88
411,"Tart Shells - Sweet, 2",Grocery,6.08
412,Juice - Apple 284ml,Clothing,5.11
413,Tomatoes - Hot House,Tools,8.49
414,Chick Peas - Dried,Grocery,3.76
415,Flour - So Mix Cake White,Books,8.27
416,"Lamb - Leg, Diced",Automotive,6.2
417,Cheese - St. Paulin,Grocery,2.05
418,Chutney Sauce - Mango,Garden,2.88
419,Sausage - Liver,Industrial,1.49
420,Glycerine,Kids,2.81
421,"Pepper - Black, Whole",Outdoors,1.34
422,Wine - Fat Bastard Merlot,Kids,3.69
423,"Syrup - Monin, Irish Cream",Toys,8.39
424,Soap - Mr.clean Floor Soap,Health,3.48
425,"Mustard - Dry, Powder",Shoes,2.61
426,"Pork - Back, Short Cut, Boneless",Sports,3.67
427,Napkin White,Movies,1.71
428,Rabbit - Saddles,Beauty,2.05
429,Olives - Stuffed,Health,1.53
430,Cod - Fillets,Grocery,6.97
431,Pasta - Canelloni,Kids,4.72
432,Salmon Steak - Cohoe 8 Oz,Grocery,4.34
433,"Pasta - Spaghetti, Dry",Tools,4.82
434,Kaffir Lime Leaves,Electronics,4.21
435,Cheese - Ricotta,Industrial,7.71
436,"Liners - Banana, Paper",Health,2.45
437,Tilapia - Fillets,Industrial,2.71
438,Island Oasis - Pina Colada,Health,1.06
439,Veal - Inside,Computers,3.57
440,Juice - V8 Splash,Home,3.37
441,Cheese - Marble,Jewelery,7.67
442,"Lobster - Baby, Boiled",Baby,6.28
443,Foil Wrap,Jewelery,5.36
444,"Extract - Vanilla,artificial",Movies,1.53
445,Bacardi Limon,Kids,7.07
446,"Veal - Shank, Pieces",Baby,7.73
447,Pasta - Fusili Tri - Coloured,Electronics,4.48
448,Anchovy In Oil,Computers,5.26
449,"Juice - Pineapple, 341 Ml",Home,1.26
450,Wine - Crozes Hermitage E.,Toys,9.09
451,Chocolate - Compound Coating,Baby,7.75
452,Mcgillicuddy Vanilla Schnap,Beauty,8.3
453,Bread - Pita,Beauty,6.67
454,Tea - Lemon Scented,Tools,2.39
455,"Potatoes - Instant, Mashed",Jewelery,1.26
456,"Chilli Paste, Ginger Garlic",Games,8.91
457,Roe - Flying Fish,Garden,2.35
458,Wine - Masi Valpolocell,Outdoors,5.73
459,Cheese - Brie Roitelet,Clothing,1.14
460,Muffin Mix - Banana Nut,Electronics,5.5
461,Bread - Dark Rye,Toys,9.94
462,Sauce - Vodka Blush,Outdoors,8.85
463,Tea - Orange Pekoe,Outdoors,4.32
464,Juice - Prune,Baby,6.22
465,Savory,Music,7.3
466,Crackers Cheez It,Jewelery,8.01
467,Smoked Paprika,Games,4.05
468,Pastry - Mini French Pastries,Industrial,2.3
469,Banana Turning,Automotive,5.07
470,Cheese - Gouda,Outdoors,9.47
471,"Beef - Baby, Liver",Automotive,1.08
472,"Lemonade - Strawberry, 591 Ml",Tools,6.11
473,"Noodles - Cellophane, Thin",Books,3.2
474,Pastry - Carrot Muffin - Mini,Shoes,3.87
475,Plate Foam Laminated 9in Blk,Beauty,2.54
476,Lettuce - Belgian Endive,Beauty,8.69
477,Soup V8 Roasted Red Pepper,Games,5.31
478,Kiwano,Movies,3.59
479,Appetizer - Southwestern,Games,8.27
480,Salami - Genova,Tools,4.28
481,"Croissant, Raw - Mini",Electronics,9.89
482,"Bread - Bagels, Plain",Games,5.51
483,Halibut - Fletches,Movies,2.88
484,Pate - Cognac,Grocery,3.98
485,Soup - Campbells Asian Noodle,Games,2.3
486,"Water - Mineral, Carbonated",Garden,3.14
487,"Tarragon - Primerba, Paste",Clothing,7.44
488,Veal - Ground,Jewelery,5.23
489,Table Cloth 54x72 Colour,Industrial,2.55
490,Coffee - Decaffeinato Coffee,Clothing,2.08
491,"Lobster - Tail, 3 - 4 Oz",Outdoors,7.08
492,Kellogs Special K Cereal,Baby,3.97
493,Pepper - Red Thai,Jewelery,1.13
494,Wine - Champagne Brut Veuve,Beauty,3.63
495,"Soup - Knorr, Chicken Noodle",Clothing,4.8
496,"Vodka - Lemon, Absolut",Computers,8.49
